id,status,urgency,category,category_ar,client_username,client_name,client_phone,worker_username,worker_name,worker_phone,address,latitude,longitude,commission,created_at,accepted_at,completed_at,cancelled_at
17,PENDING,URGENT,كهرباء,كهرباء,user975,Amany Adel,01055073885,user2659,Hussein Yasser,01015509949,83 St,28.548425,33.156544,108.83,2025-12-28 22:48:49,,,
18,IN_PROGRESS,NORMAL,كهرباء,كهرباء,user4836,Tarek Mohamed,01066088679,user3994,Ahmed Kamel,01012488563,,24.628969,29.500008,64.81,2025-09-14 15:56:29,2025-09-14 19:56:29,,
19,CANCELLED,URGENT,سباكه,سباكه,user1740,Mariam Omar,01067611249,user3819,Hend Youssef,01012037109,55 St,26.649071,32.835065,267.09,2024-09-13 14:05:21,2024-09-13 14:05:21,,2024-09-13 18:05:21
20,COMPLETED,URGENT,نجاره,نجاره,user4734,Reem Adel,01099850979,user2004,Samar Naguib,01042132903,153 St,29.249334,26.632088,216.55,2026-04-21 06:23:05,2026-04-21 13:23:05,2026-04-22 06:23:05,
21,CANCELLED,HIGH,خدمات منزليه,خدمات منزليه,user3535,Mariam Gamal,01051795025,user755,Ibrahim Omar,01030700047,,23.655777,28.026999,192.49,2024-12-12 18:21:17,2024-12-13 02:21:17,,2024-12-13 03:21:17
22,COMPLETED,URGENT,سباكه,سباكه,user1639,Sara Mohamed,01054411736,user1843,Fatma Mohamed,01042149055,,22.905505,30.734085,22.47,2025-05-14 11:39:36,2025-05-14 16:39:36,2025-05-14 18:39:36,
23,COMPLETED,NORMAL,كهرباء,كهرباء,user543,Aya Omar,01069205536,user1896,Ahmed Yasser,01020587268,186 St,25.397978,27.295345,298.88,2026-04-19 02:07:44,2026-04-19 10:07:44,2026-04-19 14:07:44,
24,CANCELLED,NORMAL,خدمات منزليه,خدمات منزليه,user1176,Mohamed Yasser,01049357964,user2332,Mona Gamal,01040436373,32 St,22.196737,35.361159,69.17,2024-06-15 16:31:03,2024-06-15 19:31:03,,2024-06-15 23:31:03
25,PENDING,URGENT,خدمات منزليه,خدمات منزليه,user3653,Amr Ibrahim,01096065653,user4173,Mona Kamel,01065552368,,25.217579,32.469703,106.0,2025-04-12 06:50:27,,,
26,CANCELLED,URGENT,كهرباء,كهرباء,user10,Hany Ahmed,01022201654,user1285,Salma Yasser,01035801896,147 St,29.624974,26.950569,160.18,2026-04-18 10:16:48,2026-04-18 10:16:48,,2026-04-18 11:16:48
27,COMPLETED,NORMAL,كهرباء,كهرباء,user948,Youssef Omar,01079994685,user1837,Mariam Yasser,01042953482,5 St,24.835064,26.590257,175.48,2024-06-14 05:45:41,2024-06-14 13:45:41,2024-06-15 10:45:41,
28,COMPLETED,NORMAL,نجاره,نجاره,user680,Ali Rashad,01042168745,user4922,Aya Mohamed,01096969960,,30.096235,28.658518,247.38,2025-08-02 11:57:11,2025-08-02 18:57:11,2025-08-03 02:57:11,
29,PENDING,NORMAL,نجاره,نجاره,user4532,Aya Mohamed,01042243271,user698,Ali Hussein,01040851360,125 St,30.489588,36.785512,240.98,2025-01-17 08:19:25,,,
30,CANCELLED,NORMAL,سباكه,سباكه,user2418,Salma Kamel,01099608371,user2318,Karim Adel,01013563869,181 St,29.282137,30.679478,250.34,2025-06-29 19:18:27,2025-06-29 20:18:27,,2025-06-29 22:18:27
31,IN_PROGRESS,HIGH,نجاره,نجاره,user780,Omar Youssef,01089883050,user256,Amr Mohamed,01070532325,178 St,24.176783,25.374814,119.07,2024-12-02 18:01:42,2024-12-03 02:01:42,,
32,COMPLETED,URGENT,كهرباء,كهرباء,user1871,Maha Ibrahim,01055932113,user4124,Samar Fahmy,01082761567,,29.952579,35.46045,248.11,2026-04-29 05:53:41,2026-04-29 12:53:41,2026-04-30 09:53:41,
33,CANCELLED,URGENT,خدمات منزليه,خدمات منزليه,user2923,Mohamed Khaled,01058149856,user1256,Sherif Shaker,01075411700,116 St,23.172684,26.733975,236.16,2024-10-23 06:54:33,2024-10-23 08:54:33,,2024-10-23 09:54:33
34,CANCELLED,NORMAL,كهرباء,كهرباء,user4368,Mahmoud Fouad,01063831412,user4440,Mariam Ahmed,01030433459,16 St,26.764501,31.404647,197.7,2025-10-19 06:48:34,2025-10-19 08:48:34,,2025-10-19 12:48:34
35,IN_PROGRESS,URGENT,سباكه,سباكه,user1987,Rania Khaled,01081308766,user4619,Sherif Fahmy,01062519713,8 St,23.319965,30.081631,141.47,2024-07-15 23:11:25,2024-07-16 04:11:25,,
36,COMPLETED,NORMAL,نجاره,نجاره,user3781,Aya Khaled,01044518787,user4121,Dina Said,01095288990,,28.526374,30.54377,246.66,2025-03-27 16:28:22,2025-03-27 23:28:22,2025-03-28 15:28:22,
37,COMPLETED,NORMAL,سباكه,سباكه,user4534,Mona Rashad,01016631950,user605,Hany Fahmy,01095630804,,30.779584,33.774034,206.08,2025-06-12 04:58:24,2025-06-12 11:58:24,2025-06-12 18:58:24,
38,PENDING,URGENT,نجاره,نجاره,user3683,Hany Naguib,01074828923,user2599,Karim Hamdy,01035257425,186 St,23.608127,33.636541,151.97,2026-03-29 17:45:25,,,
39,COMPLETED,NORMAL,سباكه,سباكه,user3880,Fatma Fahmy,01041117825,user3218,Ghada Said,01045411706,,29.010934,31.652264,142.92,2025-12-28 20:08:19,2025-12-29 00:08:19,2025-12-29 06:08:19,
40,CANCELLED,NORMAL,خدمات منزليه,خدمات منزليه,user356,Nadia Gamal,01081770706,user2013,Tarek Rashad,01054110827,77 St,27.447045,31.46689,182.76,2024-08-04 04:18:49,2024-08-04 12:18:49,,2024-08-04 12:18:49
41,PENDING,URGENT,نجاره,نجاره,user953,Mona Ali,01047903378,user3319,Sherif Naguib,01011657584,,28.061704,30.949724,145.85,2025-02-04 14:10:40,,,
42,IN_PROGRESS,NORMAL,نجاره,نجاره,user4847,Amr Fouad,01053510956,user4107,Rania Hassan,01075512214,74 St,30.038487,34.277211,68.52,2024-11-03 17:34:45,2024-11-03 20:34:45,,
43,COMPLETED,URGENT,كهرباء,كهرباء,user515,Nadia Nabil,01092074794,user4443,Ibrahim Shaker,01060980053,19 St,30.987076,32.135117,55.25,2025-06-02 05:11:44,2025-06-02 05:11:44,2025-06-02 13:11:44,
44,IN_PROGRESS,URGENT,سباكه,سباكه,user1099,Maha Youssef,01076208728,user4654,Hussein Hamdy,01091022002,84 St,27.528272,34.663907,274.17,2025-04-28 22:43:57,2025-04-29 02:43:57,,
45,COMPLETED,URGENT,كهرباء,كهرباء,user4676,Hany Mohamed,01056155870,user1210,Reem Ibrahim,01017512810,139 St,27.70767,25.904616,187.23,2024-09-23 17:16:12,2024-09-23 20:16:12,2024-09-23 23:16:12,
46,COMPLETED,HIGH,نجاره,نجاره,user177,Sara Mostafa,01016866268,user2677,Hend Nabil,01054356545,143 St,26.902153,35.446071,232.15,2026-01-07 08:35:16,2026-01-07 12:35:16,2026-01-07 22:35:16,
47,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user2739,Omar Khaled,01018008103,user3398,Shaimaa Tawfik,01068781243,52 St,27.818661,27.924624,155.4,2025-09-10 19:57:50,2025-09-10 19:57:50,2025-09-11 11:57:50,
48,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user3899,Mariam Hussein,01055463793,user4399,Mostafa Shaker,01055587114,13 St,25.81229,36.119535,75.66,2025-11-21 03:38:06,2025-11-21 08:38:06,2025-11-21 23:38:06,
49,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user2228,Tarek Naguib,01076021288,user4985,Reem Hatem,01073839985,199 St,30.36481,33.603145,249.14,2025-09-12 15:17:32,2025-09-12 18:17:32,2025-09-12 22:17:32,
50,IN_PROGRESS,URGENT,سباكه,سباكه,user1938,Khaled Tawfik,01089733579,user2642,Mariam Khaled,01034198568,100 St,23.349235,27.66047,48.36,2025-07-10 17:24:18,2025-07-10 23:24:18,,
51,IN_PROGRESS,URGENT,نجاره,نجاره,user3050,Hassan Ibrahim,01017364562,user1842,Hend Ibrahim,01034879238,152 St,24.415822,33.743141,157.76,2024-10-23 09:02:59,2024-10-23 11:02:59,,
52,COMPLETED,URGENT,نجاره,نجاره,user530,Amr Said,01079753731,user3947,Amany Ali,01034608805,,24.419411,31.732067,237.02,2025-04-14 21:03:46,2025-04-15 00:03:46,2025-04-15 10:03:46,
53,PENDING,HIGH,كهرباء,كهرباء,user4506,Aya Hussein,01045434750,user3700,Nadia Naguib,01032393437,18 St,31.074213,31.357483,114.44,2026-04-04 13:20:37,,,
54,CANCELLED,HIGH,سباكه,سباكه,user1270,Samar Tawfik,01043722078,user4925,Ahmed Yasser,01068932304,104 St,31.391214,28.803562,239.73,2024-10-10 07:50:42,2024-10-10 15:50:42,,2024-10-10 18:50:42
55,PENDING,NORMAL,كهرباء,كهرباء,user2377,Hany Hatem,01021180661,user4041,Samar Said,01042247766,6 St,28.540557,35.920923,106.69,2025-11-24 03:49:05,,,
56,COMPLETED,NORMAL,كهرباء,كهرباء,user2896,Mohamed Said,01013291261,user216,Samar Fahmy,01012058055,,23.633758,28.64027,134.31,2025-03-01 02:45:51,2025-03-01 07:45:51,2025-03-01 09:45:51,
57,COMPLETED,HIGH,كهرباء,كهرباء,user2111,Hassan Kamel,01013707261,user1058,Rania Adel,01093010827,125 St,23.441003,35.989398,210.65,2026-02-04 14:52:13,2026-02-04 16:52:13,2026-02-04 18:52:13,
58,IN_PROGRESS,HIGH,خدمات منزليه,خدمات منزليه,user425,Ahmed Kamel,01079761254,user111,Ali Fouad,01067213476,119 St,24.844593,34.191371,117.74,2024-08-02 15:05:04,2024-08-02 18:05:04,,
59,PENDING,NORMAL,خدمات منزليه,خدمات منزليه,user426,Khaled Tawfik,01044042008,user448,Shaimaa Ahmed,01094644676,,27.404335,29.894618,131.09,2025-11-24 23:09:45,,,
60,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user939,Shaimaa Tawfik,01065558669,user2354,Ali Youssef,01081929099,65 St,29.349987,30.78307,255.03,2025-03-02 13:25:38,2025-03-02 20:25:38,2025-03-03 12:25:38,
61,CANCELLED,NORMAL,نجاره,نجاره,user18,Hend Khaled,01075151231,user4428,Hend Hatem,01093302663,171 St,29.883692,33.992321,130.85,2026-05-19 18:06:16,2026-05-19 20:06:16,,2026-05-19 22:06:16
62,COMPLETED,HIGH,كهرباء,كهرباء,user2020,Maha Youssef,01031415919,user4842,Hassan Youssef,01096055379,162 St,30.169959,30.461581,140.07,2026-02-08 16:44:48,2026-02-08 18:44:48,2026-02-09 14:44:48,
63,COMPLETED,URGENT,خدمات منزليه,خدمات منزليه,user1273,Emad Mostafa,01091041439,user4095,Laila Fouad,01046690406,,26.572576,36.031371,173.69,2026-01-21 16:31:54,2026-01-21 20:31:54,2026-01-22 10:31:54,
64,CANCELLED,URGENT,سباكه,سباكه,user558,Salma Mostafa,01047877483,user1383,Sara Hussein,01015591522,,25.670904,32.938255,35.06,2025-09-29 16:15:14,2025-09-29 23:15:14,,2025-09-30 03:15:14
65,PENDING,NORMAL,سباكه,سباكه,user2634,Fatma Khaled,01069928296,user2766,Noha Mostafa,01011531126,,24.170865,33.920959,93.98,2024-08-09 17:38:30,,,
66,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user3105,Hany Rashad,01017141275,user821,Mahmoud Hatem,01069332039,,22.150135,35.811773,42.79,2026-02-26 09:57:58,2026-02-26 10:57:58,2026-02-26 16:57:58,
67,COMPLETED,HIGH,كهرباء,كهرباء,user4554,Aya Hamdy,01056987143,user2181,Hassan Yasser,01069429182,165 St,23.661573,27.825968,84.43,2025-04-21 11:54:46,2025-04-21 19:54:46,2025-04-22 06:54:46,
68,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user1900,Hend Nabil,01098319658,user2930,Amany Hatem,01027435514,130 St,31.087238,34.132052,113.59,2025-07-18 18:53:04,2025-07-18 22:53:04,2025-07-19 17:53:04,
69,COMPLETED,NORMAL,كهرباء,كهرباء,user1451,Maha Adel,01077231416,user1835,Yasmin Ahmed,01051759819,123 St,22.865215,28.174272,40.99,2024-07-19 06:09:32,2024-07-19 11:09:32,2024-07-19 16:09:32,
70,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user2605,Mariam Ali,01051292129,user3080,Fatma Naguib,01042132750,63 St,29.224468,29.575448,216.42,2024-08-18 18:38:49,2024-08-19 02:38:49,2024-08-19 15:38:49,
71,COMPLETED,NORMAL,سباكه,سباكه,user1316,Omar Ibrahim,01076836028,user4989,Youssef Naguib,01026801640,,29.857912,30.255236,54.39,2026-02-16 07:55:10,2026-02-16 14:55:10,2026-02-17 11:55:10,
72,COMPLETED,HIGH,كهرباء,كهرباء,user2176,Fatma Hatem,01064297985,user468,Sherif Naguib,01026369402,,24.240322,29.913448,148.19,2025-10-15 03:41:02,2025-10-15 08:41:02,2025-10-15 16:41:02,
73,COMPLETED,HIGH,كهرباء,كهرباء,user1313,Yasmin Naguib,01035433791,user1327,Nadia Hamdy,01053756453,,22.131617,30.490898,154.36,2026-03-09 13:16:29,2026-03-09 21:16:29,2026-03-10 15:16:29,
74,COMPLETED,HIGH,سباكه,سباكه,user4896,Omar Hussein,01070900400,user4958,Amr Khaled,01054681179,192 St,31.377549,29.299845,40.11,2024-06-01 17:24:15,2024-06-02 01:24:15,2024-06-02 16:24:15,
75,IN_PROGRESS,NORMAL,خدمات منزليه,خدمات منزليه,user2651,Nadia Naguib,01075035667,user327,Tarek Hamdy,01032436477,26 St,28.493394,30.514768,22.94,2025-06-04 15:50:31,2025-06-04 20:50:31,,
76,IN_PROGRESS,HIGH,كهرباء,كهرباء,user4451,Amany Adel,01080102110,user3852,Mariam Shaker,01060970288,138 St,30.81177,35.560273,29.11,2024-12-31 00:49:49,2024-12-31 01:49:49,,
77,COMPLETED,NORMAL,كهرباء,كهرباء,user3812,Amany Mostafa,01057506572,user1617,Dina Said,01084829928,36 St,23.842177,34.029599,168.37,2024-07-12 16:04:15,2024-07-12 17:04:15,2024-07-13 05:04:15,
78,COMPLETED,URGENT,كهرباء,كهرباء,user2900,Shaimaa Hamdy,01071119118,user1623,Shaimaa Naguib,01093703711,169 St,27.061399,27.312545,111.51,2026-04-25 16:37:37,2026-04-25 16:37:37,2026-04-26 09:37:37,
79,CANCELLED,HIGH,كهرباء,كهرباء,user3689,Nadia Youssef,01091657586,user1891,Maha Youssef,01023906478,100 St,29.694946,28.138784,59.28,2025-07-28 21:37:15,2025-07-29 01:37:15,,2025-07-29 01:37:15
80,PENDING,HIGH,كهرباء,كهرباء,user1311,Samar Mohamed,01040651547,user598,Noha Youssef,01082440371,51 St,23.596103,33.781636,182.21,2024-12-11 03:16:34,,,
81,COMPLETED,URGENT,نجاره,نجاره,user1231,Mahmoud Adel,01053898593,user1646,Khaled Fouad,01039807813,33 St,27.024237,27.783448,170.94,2026-04-24 02:43:16,2026-04-24 07:43:16,2026-04-24 14:43:16,
82,COMPLETED,HIGH,نجاره,نجاره,user58,Mahmoud Mostafa,01098787891,user2788,Sara Yasser,01011404682,46 St,24.230121,31.526821,43.16,2026-05-03 21:37:08,2026-05-04 05:37:08,2026-05-04 18:37:08,
83,CANCELLED,URGENT,خدمات منزليه,خدمات منزليه,user500,Mohamed Shaker,01082209870,user1296,Sara Hussein,01096869105,117 St,28.865049,31.826079,200.68,2025-04-17 07:28:21,2025-04-17 15:28:21,,2025-04-17 18:28:21
84,COMPLETED,URGENT,سباكه,سباكه,user3132,Hend Hassan,01053402003,user4173,Mona Kamel,01065552368,133 St,27.077184,34.697487,223.95,2025-09-20 03:33:30,2025-09-20 08:33:30,2025-09-20 21:33:30,
85,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user2540,Sherif Ahmed,01061043561,user4503,Hassan Adel,01062868567,97 St,28.079753,28.649371,53.17,2025-03-23 20:13:35,2025-03-23 23:13:35,2025-03-24 22:13:35,
86,COMPLETED,HIGH,كهرباء,كهرباء,user2876,Nadia Yasser,01022413633,user4655,Omar Youssef,01062505473,97 St,24.703171,36.108051,279.73,2025-10-18 17:37:42,2025-10-18 18:37:42,2025-10-19 11:37:42,
87,PENDING,NORMAL,كهرباء,كهرباء,user195,Sherif Rashad,01055246430,user2589,Noha Mohamed,01025277822,83 St,22.479719,31.413693,61.0,2026-04-18 20:41:47,,,
88,PENDING,URGENT,خدمات منزليه,خدمات منزليه,user1362,Amany Said,01027371542,user2078,Omar Mohamed,01037064257,186 St,24.12193,26.608819,26.0,2025-07-19 22:00:58,,,
89,IN_PROGRESS,URGENT,سباكه,سباكه,user2695,Ibrahim Omar,01080373780,user1137,Maha Mohamed,01023733443,178 St,25.766254,34.918725,276.08,2024-10-18 23:33:27,2024-10-19 06:33:27,,
90,COMPLETED,HIGH,كهرباء,كهرباء,user452,Dina Gamal,01032491607,user4621,Aya Rashad,01076597532,,26.478111,32.846909,299.41,2026-05-24 08:29:19,2026-05-24 09:29:19,2026-05-25 07:29:19,
91,COMPLETED,URGENT,كهرباء,كهرباء,user4143,Youssef Fahmy,01016761335,user794,Nadia Gamal,01060233144,157 St,28.678611,34.445559,170.84,2024-07-18 11:50:39,2024-07-18 16:50:39,2024-07-19 06:50:39,
92,COMPLETED,URGENT,سباكه,سباكه,user634,Mohamed Youssef,01076176080,user2363,Ali Mostafa,01097914631,13 St,28.612214,33.241162,74.34,2025-06-16 19:12:11,2025-06-16 22:12:11,2025-06-17 11:12:11,
93,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user2821,Rania Youssef,01076734716,user4844,Yasmin Ali,01094298323,,23.346333,30.570206,45.14,2024-10-11 03:41:52,2024-10-11 03:41:52,2024-10-12 03:41:52,
94,IN_PROGRESS,HIGH,سباكه,سباكه,user4939,Karim Nabil,01020288463,user3255,Ahmed Rashad,01078786418,146 St,27.874475,35.217567,102.7,2025-11-08 18:13:41,2025-11-08 19:13:41,,
95,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user2391,Emad Fahmy,01036920343,user1479,Mahmoud Naguib,01099255940,48 St,25.752757,28.84259,274.0,2024-06-13 05:21:01,2024-06-13 10:21:01,2024-06-14 04:21:01,
96,COMPLETED,HIGH,سباكه,سباكه,user1869,Hend Fahmy,01040767884,user1372,Aya Mohamed,01053325981,115 St,29.785029,32.091194,58.94,2024-09-27 06:04:56,2024-09-27 12:04:56,2024-09-28 01:04:56,
97,CANCELLED,HIGH,سباكه,سباكه,user1610,Shaimaa Kamel,01034480241,user4355,Mostafa Said,01020747850,,23.407143,35.528808,77.03,2025-06-25 17:58:15,2025-06-25 18:58:15,,2025-06-25 19:58:15
98,CANCELLED,NORMAL,سباكه,سباكه,user3118,Laila Mostafa,01063746280,user3898,Mahmoud Adel,01050823438,176 St,27.929245,36.735316,197.06,2026-03-05 15:43:08,2026-03-05 21:43:08,,2026-03-05 21:43:08
99,COMPLETED,HIGH,كهرباء,كهرباء,user4242,Amany Adel,01092812522,user2891,Amany Omar,01042724726,,23.06925,27.810738,207.4,2025-11-19 05:19:40,2025-11-19 08:19:40,2025-11-19 21:19:40,
100,COMPLETED,HIGH,كهرباء,كهرباء,user4605,Shaimaa Naguib,01045683289,user4145,Hend Gamal,01066857063,21 St,28.210454,31.997277,116.13,2025-10-04 14:29:35,2025-10-04 18:29:35,2025-10-05 16:29:35,
101,COMPLETED,URGENT,نجاره,نجاره,user3787,Yasmin Hassan,01061532911,user665,Mohamed Rashad,01012984525,98 St,25.306568,36.531349,210.74,2025-08-10 14:42:41,2025-08-10 21:42:41,2025-08-11 02:42:41,
102,COMPLETED,NORMAL,كهرباء,كهرباء,user319,Youssef Nabil,01022496299,user513,Ibrahim Naguib,01028456645,149 St,29.766303,33.448662,262.77,2026-01-12 02:42:29,2026-01-12 05:42:29,2026-01-12 20:42:29,
103,COMPLETED,HIGH,سباكه,سباكه,user915,Omar Rashad,01023238889,user3607,Emad Rashad,01066792623,59 St,27.734443,33.429976,280.1,2025-01-29 13:50:03,2025-01-29 17:50:03,2025-01-30 01:50:03,
104,CANCELLED,NORMAL,نجاره,نجاره,user1156,Khaled Yasser,01068230817,user4448,Hany Adel,01022297845,,22.371801,32.36009,213.81,2026-02-22 14:56:58,2026-02-22 20:56:58,,2026-02-22 22:56:58
105,COMPLETED,URGENT,كهرباء,كهرباء,user614,Tarek Gamal,01087862305,user728,Karim Yasser,01024148036,16 St,25.681216,29.002059,240.16,2025-09-19 18:27:13,2025-09-19 21:27:13,2025-09-20 18:27:13,
106,PENDING,HIGH,كهرباء,كهرباء,user3995,Maha Gamal,01093235590,user4807,Laila Ibrahim,01010062107,,30.932793,31.904033,150.41,2026-05-11 08:46:28,,,
107,COMPLETED,URGENT,نجاره,نجاره,user864,Noha Hatem,01039815335,user1847,Khaled Youssef,01083683223,,25.294432,25.774947,31.05,2025-10-01 16:55:21,2025-10-01 16:55:21,2025-10-02 05:55:21,
108,COMPLETED,HIGH,نجاره,نجاره,user4410,Reem Rashad,01040794451,user1495,Sherif Mohamed,01044506369,113 St,31.324383,31.473243,155.8,2024-11-12 12:21:12,2024-11-12 16:21:12,2024-11-12 18:21:12,
109,COMPLETED,HIGH,سباكه,سباكه,user2274,Amany Fouad,01059234268,user2814,Mohamed Fouad,01055685959,182 St,25.967986,31.592672,277.99,2025-10-11 10:46:03,2025-10-11 13:46:03,2025-10-12 07:46:03,
110,COMPLETED,URGENT,خدمات منزليه,خدمات منزليه,user82,Salma Tawfik,01025228493,user2611,Hany Khaled,01022518558,158 St,30.57208,25.194678,103.88,2024-09-06 04:44:47,2024-09-06 05:44:47,2024-09-06 23:44:47,
111,COMPLETED,URGENT,سباكه,سباكه,user3175,Hussein Adel,01012079379,user2016,Hend Khaled,01038782865,96 St,26.734805,36.354951,161.42,2026-04-18 11:59:36,2026-04-18 14:59:36,2026-04-19 14:59:36,
112,COMPLETED,URGENT,نجاره,نجاره,user2925,Mariam Said,01016066047,user395,Mostafa Hatem,01038611881,,26.773998,36.547236,278.09,2025-02-11 21:40:00,2025-02-12 03:40:00,2025-02-12 16:40:00,
113,COMPLETED,HIGH,سباكه,سباكه,user1429,Maha Omar,01099883548,user2989,Emad Mostafa,01065304399,139 St,30.561767,35.188551,289.14,2025-03-01 19:58:39,2025-03-01 21:58:39,2025-03-02 17:58:39,
114,COMPLETED,NORMAL,نجاره,نجاره,user4070,Ibrahim Tawfik,01033567338,user3877,Ali Shaker,01025475831,162 St,29.726033,35.707008,243.7,2025-04-05 13:26:24,2025-04-05 14:26:24,2025-04-05 15:26:24,
115,COMPLETED,NORMAL,نجاره,نجاره,user739,Ghada Youssef,01097370696,user3000,Ghada Tawfik,01019382555,121 St,22.44155,34.647141,47.22,2025-08-13 00:09:46,2025-08-13 05:09:46,2025-08-13 06:09:46,
116,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user2773,Ghada Gamal,01055771402,user4250,Mohamed Tawfik,01031102614,,25.334577,26.558906,60.15,2024-08-19 01:26:45,2024-08-19 07:26:45,2024-08-19 22:26:45,
117,IN_PROGRESS,URGENT,سباكه,سباكه,user4951,Youssef Rashad,01068272078,user111,Ali Fouad,01067213476,61 St,22.743887,35.111186,254.61,2025-02-14 21:57:51,2025-02-15 01:57:51,,
118,COMPLETED,HIGH,خدمات منزليه,خدمات منزليه,user1873,Youssef Tawfik,01099478064,user1569,Karim Hamdy,01064653122,149 St,25.090763,32.058595,242.59,2025-01-06 20:56:41,2025-01-06 22:56:41,2025-01-07 19:56:41,
119,CANCELLED,HIGH,نجاره,نجاره,user1929,Hassan Shaker,01093685072,user1787,Yasmin Adel,01046642579,96 St,27.456197,28.557301,231.16,2025-04-29 21:25:16,2025-04-30 02:25:16,,2025-04-30 02:25:16
120,IN_PROGRESS,NORMAL,سباكه,سباكه,user4872,Mohamed Ali,01094825242,user1214,Mostafa Said,01086414081,151 St,23.755005,31.727182,240.24,2024-06-23 23:35:20,2024-06-24 02:35:20,,
